anime_id,name,genre,type,episodes,rating,members
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850
25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,6259
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,36751
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,29528
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,8.39,83641
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,47840
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38,21798
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,556431
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044
34240,Shelter,"Music, Sci-Fi",Music,1,8.38,71136
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,99128
16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1,8.37,45547
1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103
22145,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,122895
2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,282002
19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11,8.36,67032
18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,71820
9890,Major: Message,"Comedy, Drama, Sports",OVA,1,8.36,12282
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,27532
9863,SKET Dance,"Comedy, School, Shounen",TV,77,8.36,101027
7674,Bakuman.,"Comedy, Romance, Shounen",TV,25,8.35,246899
11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914
16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1,8.35,59815
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002
21557,Omoide no Marnie,"Drama, Mystery, Psychological",Movie,1,8.35,53590
31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1,8.34,31856
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
9617,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1,8.34,115252
31051,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,1,8.34,22900
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,13315
1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,58492
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,1,8.34,38147
3091,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,74941
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33,65594
28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,26,8.33,98996
138,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8,8.33,57029
6675,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
32005,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,1,8.32,6229
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,106382
28725,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,1,8.32,59652
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32,94435
16067,Nagi no Asukara,"Drama, Fantasy, Romance",TV,26,8.32,224947
30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
31490,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32,18642
759,Tokyo Godfathers,"Comedy, Drama",Movie,1,8.32,89424
6,Trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,283069
6864,xxxHOLiC Rou,"Mystery, Supernatural",OVA,2,8.32,36353
9735,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.31,88164
11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,69253
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13,8.31,222994
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,1,8.31,35120
962,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,39596
1519,Black Lagoon: The Second Barrage,"Action, Seinen",TV,12,8.3,203233
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690
5681,Summer Wars,"Comedy, Sci-Fi",Movie,1,8.3,223359
3901,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,100412
6467,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,1,8.29,20602
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,26,8.29,55566
22507,Initial D Final Stage,"Cars, Seinen, Sports",TV,4,8.29,19702
3701,Kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29,56927
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.29,17247
33255,Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural",TV,120,8.29,47092
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,8.28,60637
265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1,8.28,40623
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28,91796
4722,Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,25,8.28,134818
24277,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,24,8.28,50778
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828
512,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27,152331
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.27,24707
31174,Osomatsu-san,"Comedy, Parody",TV,25,8.27,60988
23327,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,13,8.27,60918
5365,Tsumiki no Ie,Drama,Movie,1,8.27,45189
3702,Detroit Metal City,"Comedy, Music",OVA,12,8.26,104893
3167,Eve no Jikan,"Sci-Fi, Slice of Life",ONA,6,8.26,99074
7465,Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,1,8.26,66376
7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,8.26,391628
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,"Adventure, Sci-Fi, Shounen",OVA,13,8.26,23701
23283,Zankyou no Terror,"Psychological, Thriller",TV,11,8.26,342893
2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334
235,Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,Unknown,8.25,114702
1364,Detective Conan Movie 05: Countdown to Heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.25,25432
18689,Diamond no Ace,"Comedy, School, Shounen, Sports",TV,75,8.25,81384
22043,Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,8.25,255076
31988,Hibike! Euphonium 2,"Drama, Music, School",TV,13,8.25,47716
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.25,120089
1453,Maison Ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,96,8.25,22079
23623,Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life",TV,12,8.26,64230
1559,Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,50,8.25,129112
1382,Yuusha-Ou GaoGaiGar Final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,8.25,5001
23289,Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",TV,12,8.24,292622
18,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,24,8.24,41584
4814,Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.24,87617
16662,Kaze Tachinu,"Drama, Historical, Romance",Movie,1,8.24,75359
12031,Kingdom,"Action, Historical, Military, Seinen",TV,38,8.24,54211
14513,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513
2581,Mobile Suit Gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24,120351
30015,ReLIFE,"Romance, School, Slice of Life",TV,13,8.24,202249
6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.24,40355
1827,Seirei no Moribito,"Action, Adventure, Fantasy, Historical",TV,26,8.24,106888
25013,Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,8.23,216674
1367,Detective Conan Movie 08: Magician of the Silver Sky,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.23,23130
27833,Durarara!!x2 Ketsu,"Action, Mystery, Supernatural",TV,12,8.23,115295
26213,Free!: Eternal Summer Special,"Comedy, School, Slice of Life",Special,1,8.23,36091
1974,Glass no Kamen (2005),"Drama, Shoujo",TV,51,8.23,17038
8425,Gosick,"Drama, Historical, Mystery, Romance",TV,24,8.23,232113
12069,Hajime no Ippo: Boxer no Kobushi,"Comedy, Drama, Shounen, Sports",Special,1,8.23,20157
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",TV,26,8.23,68128
18679,Kill la Kill,"Action, Comedy, School, Super Power",TV,24,8.23,508118
